LGA,hhsize,totalvehs,hhinc,hhsize_normalised,totalvehs_normalised,hhinc_normalised,dwelltype_Flat or Apartment,dwelltype_Other,dwelltype_Separate House,dwelltype_Terrace/Townhouse,owndwell_Being Purchased,owndwell_Being Rented,owndwell_Fully Owned,owndwell_Occupied Rent-Free,owndwell_Something Else,label
Casey,1.0,1.0,900.0,0.0,0.25,0.3008008008008008,0,0,1,0,1,0,0,0,0,5
Brimbank,2.0,0.0,525.0,0.2,0.0,0.1776776776776776,0,0,1,0,0,0,1,0,0,5
Melbourne,2.0,1.0,500.0,0.2,0.25,0.1506506506506506,1,0,0,0,0,1,0,0,0,1
Yarra,2.0,2.0,4500.0,0.2,0.5,0.94994994994995,0,0,0,1,0,1,0,0,0,1
Boroondara,1.0,2.0,4950.0,0.0,0.5,0.9567879529146784,0,1,0,0,1,0,0,0,0,2
MorningtonPeninsula,4.0,1.0,1625.0,0.6,0.25,0.5195195195195195,0,0,1,0,0,0,1,0,0,3
PortPhillip,2.0,1.0,5000.0,0.2,0.25,0.9664664664664664,0,0,1,0,0,1,0,0,0,0
Knox,4.0,3.0,1125.0,0.6,0.75,0.3763763763763763,0,0,1,0,1,0,0,0,0,4
GreaterDandenong,2.0,1.0,1125.0,0.2,0.25,0.3763763763763763,0,1,0,0,0,0,1,0,0,2
Boroondara,2.0,1.0,1850.0,0.2,0.25,0.602102102102102,0,0,1,0,0,1,0,0,0,0
Casey,3.0,2.0,3500.0,0.4,0.5,0.8833833833833833,0,0,1,0,0,0,1,0,0,3
Brimbank,3.0,2.0,1200.0,0.4,0.5,0.4089089089089089,0,0,1,0,1,0,0,0,0,3
Manningham,1.0,0.0,100.0,0.0,0.0,0.0315315315315315,0,0,1,0,1,0,0,0,0,5
Maroondah,2.0,0.0,450.0,0.2,0.0,0.1131131131131131,0,0,0,1,0,0,1,0,0,2
Darebin,4.0,1.0,1875.0,0.6,0.25,0.6136136136136137,0,0,1,0,0,0,1,0,0,3
